match_id,queue_id,win,champion,role,game_duration,kills_total,deaths_total,assists_total,lane_minions,jungle_minions,vision_score,wards_placed,wards_killed,control_wards_placed,turret_plates,vision_advantage,control_ward_coverage,early_roam_kills,aces_before_15,first_blood,first_tower,first_dragon,first_rift_herald,void_grubs,min15_kills,min15_deaths,min15_assists,min15_wards_placed,min15_wards_killed,min15_control_wards,min15_gold,min15_cs,min15_gold_diff,min15_cs_diff,min15_xp_diff
LA2_1526298801,440,1,Sejuani,JUNGLE,28.85,2,3,21,17,144,25,7,1,7,0,1.3879292011260986,0.7124845689436218,0,0,0,1,1,1,1,1.0,1.0,7.0,4.0,0.0,4.0,5128.0,80.0,-10.0,-11.0,602.0
LA2_1526181502,440,1,Leona,UTILITY,38.88,1,11,22,43,0,118,47,16,8,1,0.08710777759552,0.623737503406702,0,0,0,0,1,1,0,1.0,4.0,2.0,8.0,2.0,2.0,3825.0,21.0,-918.0,-5.0,-887.0
LA2_1526834516,440,0,Sivir,BOTTOM,30.92,3,5,6,205,5,30,14,4,4,2,-0.0289203524589538,0.5391950313161126,0,0,1,1,0,0,3,2.0,1.0,1.0,7.0,1.0,2.0,5532.0,120.0,1028.0,20.0,-337.0
LA2_1553946058,420,1,Elise,UTILITY,23.45,6,3,6,29,0,50,28,0,4,2,0.1801962852478027,0.673689752112886,1,0,0,1,0,1,3,4.0,3.0,1.0,11.0,0.0,2.0,4756.0,18.0,-467.0,-5.0,-603.0
LA2_1518445913,420,1,Varus,BOTTOM,39.62,8,13,8,220,19,33,15,7,3,5,-0.1662418246269226,0.7216099178663705,0,0,1,1,0,1,1,4.0,5.0,2.0,6.0,1.0,2.0,6263.0,98.0,1268.0,15.0,677.0
LA2_1526202315,440,0,Braum,UTILITY,28.47,0,4,9,24,0,61,36,4,7,0,-0.2449501156806945,0.7384339252001055,0,0,0,0,1,1,1,0.0,2.0,3.0,10.0,2.0,3.0,3471.0,20.0,-367.0,3.0,-514.0
LA2_1516707337,420,0,Ashe,BOTTOM,34.42,11,7,9,190,39,28,13,3,2,3,0.4882441759109497,0.5883300965336569,0,0,1,1,1,0,0,4.0,1.0,3.0,5.0,0.0,1.0,5864.0,96.0,1495.0,-6.0,980.0
LA2_1510687014,440,0,Ekko,JUNGLE,19.87,0,2,2,18,96,18,7,5,3,0,-0.101504385471344,0.0,0,0,1,0,0,0,3,0.0,1.0,1.0,6.0,2.0,2.0,4376.0,85.0,-571.0,-6.0,-122.0
LA2_1501071717,440,1,Sejuani,JUNGLE,33.58,5,0,16,40,151,39,7,6,7,2,0.9987186193466188,0.7618376741854469,0,0,1,1,1,1,6,2.0,0.0,4.0,3.0,1.0,3.0,5267.0,87.0,559.0,-21.0,-872.0
LA2_1515634178,420,1,Trundle,TOP,37.02,6,12,7,254,16,34,16,0,4,0,0.1158115863800048,0.6231814129494513,0,0,0,1,1,0,3,2.0,5.0,0.0,6.0,0.0,2.0,4619.0,88.0,-1186.0,0.0,-1596.0
LA2_1526212689,440,0,Sejuani,JUNGLE,39.47,2,6,15,19,180,50,11,11,11,0,0.0369555950164794,0.5716949154735531,0,0,0,1,1,1,0,0.0,0.0,3.0,1.0,2.0,1.0,4372.0,79.0,-428.0,-37.0,-1213.0
LA2_1503922984,440,0,Leona,UTILITY,29.6,2,9,18,25,0,58,28,6,4,1,-0.1572694182395935,0.6145998562587308,0,0,1,0,1,0,3,1.0,4.0,10.0,11.0,0.0,2.0,4553.0,15.0,592.0,2.0,-138.0
LA2_1526519772,440,0,Thresh,UTILITY,37.62,3,14,31,30,0,97,42,10,9,1,0.6161086559295654,0.751383300478677,0,0,1,0,1,0,0,3.0,3.0,7.0,14.0,5.0,5.0,4798.0,19.0,857.0,1.0,68.0
LA2_1526355216,440,1,Ezreal,BOTTOM,15.53,1,1,2,106,4,5,4,1,0,3,-0.4866207838058471,0.0,0,0,0,1,1,0,2,1.0,1.0,2.0,3.0,0.0,0.0,5397.0,103.0,224.0,-12.0,207.0
LA2_1525162453,440,0,Vayne,BOTTOM,25.82,2,3,1,168,4,19,9,3,1,1,0.0192514657974243,0.2726665591038131,0,0,0,1,1,0,3,0.0,1.0,0.0,5.0,1.0,0.0,4250.0,99.0,-1925.0,-28.0,-679.0
LA2_1505738988,420,0,Nasus,TOP,21.92,1,10,0,80,0,3,2,0,0,0,-0.594395637512207,0.0,0,0,0,0,0,0,3,1.0,6.0,0.0,2.0,0.0,0.0,3958.0,68.0,-2744.0,-57.0,-2806.0
LA2_1520277195,420,1,Leblanc,MIDDLE,27.33,6,3,4,163,8,23,14,5,5,2,0.0358827114105224,0.7629573673278868,0,0,0,1,0,1,3,1.0,1.0,2.0,7.0,0.0,2.0,4878.0,86.0,-407.0,-31.0,59.0
LA2_1506014915,420,0,Shaco,JUNGLE,15.95,2,3,1,15,58,10,3,3,3,0,-0.3315949440002441,0.5685126066044643,0,0,0,0,0,0,0,2.0,3.0,1.0,3.0,3.0,3.0,4559.0,70.0,-2412.0,-34.0,-2138.0
LA2_1506022619,420,0,Diana,JUNGLE,24.67,1,10,1,31,75,6,0,1,0,2,-0.5594935417175293,0.0,0,0,0,0,0,0,3,0.0,5.0,1.0,0.0,1.0,0.0,4137.0,67.0,-2979.0,-41.0,-2239.0
LA2_1501084600,440,1,Sejuani,JUNGLE,32.08,6,6,23,16,136,38,7,6,7,0,1.3980083465576172,0.5804549297856701,0,0,0,1,0,1,3,3.0,3.0,3.0,3.0,0.0,3.0,5504.0,64.0,-840.0,-55.0,-2238.0
LA2_1525976236,440,0,Sejuani,JUNGLE,31.03,4,8,7,5,129,27,5,3,5,0,-0.3734104633331299,0.6645811825942131,0,0,1,1,1,0,2,4.0,1.0,3.0,1.0,1.0,1.0,5551.0,71.0,952.0,-25.0,86.0
LA2_1525920676,440,1,Sejuani,JUNGLE,37.1,11,0,22,37,179,33,8,2,6,0,-0.1959952712059021,0.7812483238398529,0,0,1,0,0,0,0,5.0,0.0,4.0,4.0,3.0,2.0,5893.0,72.0,721.0,-40.0,-565.0
LA2_1554478975,420,0,Thresh,UTILITY,34.47,0,8,16,29,2,77,39,4,9,2,-0.1472086906433105,0.5720847520924899,0,0,0,1,0,0,0,0.0,4.0,3.0,11.0,1.0,3.0,3563.0,23.0,-1066.0,3.0,-303.0
LA2_1524644130,440,1,Ezreal,BOTTOM,27.13,4,3,10,187,4,17,9,4,1,0,-0.2929186820983886,0.0,0,0,1,0,0,1,3,2.0,1.0,4.0,5.0,1.0,0.0,5530.0,119.0,413.0,-5.0,1049.0
LA2_1554288231,420,1,Thresh,UTILITY,27.18,4,2,20,33,0,59,26,8,3,0,0.0044072866439819,0.7811386620931607,0,0,0,0,1,0,3,2.0,2.0,5.0,9.0,5.0,1.0,4575.0,25.0,271.0,8.0,-676.0
LA2_1523479300,440,1,Vayne,BOTTOM,34.27,12,9,15,175,16,27,12,4,2,0,-0.1869833469390869,0.0,0,0,0,1,0,0,3,4.0,5.0,1.0,3.0,0.0,0.0,5226.0,78.0,-2154.0,-52.0,-1153.0
LA2_1517250578,420,1,Jax,TOP,28.6,6,8,11,140,6,26,9,2,2,0,1.117722988128662,0.7894348709000599,0,0,1,0,1,1,3,6.0,4.0,1.0,3.0,0.0,1.0,5758.0,87.0,-280.0,-16.0,-411.0
LA2_1526874606,440,0,Sejuani,JUNGLE,28.58,3,6,8,14,134,30,3,3,3,0,0.682977557182312,0.5323466229960853,0,0,1,0,0,1,3,2.0,2.0,4.0,1.0,0.0,1.0,5255.0,85.0,-941.0,-23.0,-1118.0
LA2_1525460217,440,0,Thresh,UTILITY,22.13,0,7,10,25,0,40,21,3,6,0,-0.1159488558769226,0.8581579289743421,0,0,1,0,0,0,0,0.0,4.0,4.0,11.0,2.0,4.0,3779.0,23.0,-1560.0,-5.0,-1147.0
LA2_1520644139,420,1,Anivia,MIDDLE,31.35,9,6,6,200,6,28,11,4,2,1,0.9099341630935668,0.4414904786413337,0,0,0,1,0,1,3,2.0,4.0,1.0,3.0,1.0,0.0,4862.0,95.0,-2688.0,-3.0,-682.0
LA2_1500357678,440,0,JarvanIV,JUNGLE,25.53,7,4,5,31,110,20,3,1,3,1,-0.3317652344703674,0.3734109540587849,0,0,1,0,0,0,4,4.0,2.0,1.0,2.0,1.0,2.0,5787.0,77.0,1164.0,-12.0,-294.0
LA2_1516721820,420,0,Vayne,BOTTOM,24.45,3,9,2,133,0,13,7,2,1,0,-0.2126449346542358,0.0,0,0,0,0,0,0,3,2.0,6.0,1.0,4.0,1.0,0.0,4589.0,83.0,-2543.0,-19.0,-1529.0
LA2_1525813438,440,0,Trundle,JUNGLE,29.37,1,6,9,8,129,17,3,3,3,1,-0.4749667048454284,0.3064555140315265,0,0,1,1,1,0,0,0.0,1.0,2.0,0.0,1.0,0.0,4435.0,80.0,-3062.0,-25.0,-1573.0
LA2_1526767519,440,1,Ezreal,BOTTOM,35.82,7,3,9,221,0,31,14,8,3,0,-0.0619382262229919,0.4567395572675574,0,0,1,1,0,1,1,0.0,1.0,0.0,5.0,3.0,0.0,4654.0,116.0,-627.0,-21.0,-244.0
LA2_1525801297,440,0,Trundle,JUNGLE,29.88,6,5,7,21,124,33,5,8,5,0,0.4068042039871216,0.7349911444027603,0,0,0,0,0,0,3,1.0,1.0,3.0,2.0,4.0,2.0,4789.0,83.0,-1506.0,-25.0,-1239.0
LA2_1526769628,440,1,Sejuani,JUNGLE,27.02,5,2,18,29,147,27,8,4,8,0,0.3233757019042969,0.528643531357767,0,0,0,1,1,0,1,3.0,1.0,5.0,2.0,1.0,2.0,5988.0,96.0,-634.0,-20.0,-357.0
LA2_1525892245,440,0,Vayne,BOTTOM,31.67,4,2,7,215,0,31,13,5,3,0,0.0843464136123657,0.3780710032606257,0,0,0,0,1,0,0,3.0,0.0,5.0,6.0,1.0,1.0,5739.0,100.0,316.0,-35.0,142.0
LA2_1520911727,420,1,Leblanc,MIDDLE,29.7,11,2,13,155,4,30,12,5,2,2,0.931849479675293,0.7527761473523453,0,0,0,1,1,1,1,4.0,1.0,2.0,5.0,1.0,1.0,5800.0,99.0,-614.0,0.0,550.0
LA2_1500969420,440,1,Sejuani,JUNGLE,42.6,6,5,21,31,225,38,6,9,6,0,0.4108937978744507,0.8552513456863143,0,0,0,0,0,0,6,2.0,0.0,4.0,1.0,2.0,1.0,5499.0,91.0,40.0,7.0,862.0
LA2_1554216563,420,0,Elise,UTILITY,28.6,7,10,10,31,0,60,27,4,3,1,-0.1434018611907959,0.6463421158287924,0,0,0,1,0,0,3,3.0,5.0,6.0,13.0,1.0,2.0,5108.0,18.0,537.0,-11.0,18.0
LA2_1526672125,440,0,Sejuani,JUNGLE,40.48,7,3,20,23,160,43,6,10,6,0,0.494841456413269,0.7143358774840148,0,0,0,1,0,0,3,1.0,0.0,5.0,2.0,2.0,2.0,5507.0,80.0,-1060.0,-28.0,-731.0
LA2_1553956643,420,1,Elise,UTILITY,39.45,8,6,14,61,0,98,40,12,5,1,-0.191364586353302,0.6279022895100951,0,0,0,0,0,1,2,1.0,1.0,3.0,13.0,2.0,3.0,4182.0,28.0,-1074.0,13.0,966.0
LA2_1520406182,420,1,Leblanc,MIDDLE,31.68,9,2,6,184,4,23,13,1,3,2,0.5907037258148193,0.6310657537753311,0,0,1,1,0,1,3,4.0,0.0,1.0,7.0,1.0,2.0,5916.0,102.0,534.0,-5.0,224.0
LA2_1526363810,440,1,Sejuani,JUNGLE,41.17,7,2,20,46,187,51,9,7,9,0,0.1259186267852783,0.6671477543557214,0,0,0,0,0,1,3,2.0,0.0,5.0,3.0,1.0,3.0,5493.0,95.0,771.0,21.0,587.0
LA2_1501090796,440,1,Sejuani,JUNGLE,33.77,7,4,15,26,171,37,7,6,7,0,0.4878578186035156,0.8434169782540952,0,0,1,0,0,1,6,6.0,2.0,4.0,4.0,1.0,4.0,6395.0,88.0,1636.0,0.0,1256.0
LA2_1518730755,420,0,Xayah,BOTTOM,24.47,2,6,1,119,6,8,2,3,0,1,-0.4867703318595886,0.0,0,0,1,0,0,1,3,1.0,5.0,1.0,2.0,1.0,0.0,4235.0,75.0,-2048.0,-44.0,-1718.0
LA2_1525910894,440,1,Thresh,UTILITY,37.02,4,7,20,42,2,80,38,6,7,2,0.488039493560791,0.6082517184275611,0,0,0,1,0,1,3,2.0,2.0,3.0,9.0,0.0,1.0,4303.0,23.0,427.0,3.0,162.0
LA2_1525616240,440,1,Blitzcrank,UTILITY,31.58,2,5,23,21,4,77,38,6,11,2,0.7660989761352539,0.5915951184961462,0,0,1,1,1,0,3,1.0,3.0,3.0,10.0,2.0,3.0,4082.0,19.0,-439.0,-7.0,-640.0
LA2_1505818960,420,1,Yone,TOP,29.98,0,14,1,110,16,11,6,0,0,0,-0.2663677334785461,0.0,0,0,0,0,1,0,0,0.0,8.0,1.0,3.0,0.0,0.0,3724.0,84.0,-2807.0,-28.0,-2988.0
LA2_1527025303,440,0,Sejuani,JUNGLE,29.1,2,8,11,18,140,24,2,5,2,0,-0.0688633918762207,0.8090271962290985,0,0,0,0,1,0,3,1.0,2.0,3.0,2.0,3.0,2.0,4894.0,90.0,-859.0,9.0,-569.0
LA2_1526389394,440,0,Thresh,UTILITY,31.62,6,9,14,36,0,74,37,7,8,0,-0.1443108916282653,0.7503677883408886,0,0,0,0,1,1,0,4.0,3.0,5.0,11.0,3.0,3.0,4910.0,28.0,1044.0,13.0,1010.0
LA2_1526926743,440,1,Blitzcrank,UTILITY,32.18,1,8,21,31,0,90,42,6,7,0,0.2085630893707275,0.614950209564079,0,0,1,0,0,1,3,0.0,3.0,7.0,14.0,2.0,4.0,3848.0,17.0,-692.0,0.0,-485.0
LA2_1516730901,420,1,Varus,BOTTOM,31.18,14,3,6,214,12,17,11,1,2,2,-0.0926929712295532,0.3918674449022564,0,0,0,0,1,0,0,7.0,2.0,1.0,5.0,1.0,1.0,6615.0,97.0,1596.0,22.0,765.0
LA2_1554292822,420,1,Thresh,UTILITY,23.58,2,2,15,16,0,53,25,3,3,0,0.2412618398666381,0.1822048972792711,1,0,1,1,1,0,0,2.0,2.0,6.0,14.0,2.0,2.0,4579.0,15.0,398.0,-15.0,-722.0
LA2_1554122181,420,0,Elise,UTILITY,33.57,7,11,13,35,0,82,35,10,5,3,-0.252064049243927,0.6754394616600545,1,0,1,0,1,0,0,4.0,3.0,5.0,11.0,4.0,3.0,5356.0,22.0,1083.0,-7.0,15.0
LA2_1525485632,440,1,Braum,UTILITY,31.6,2,4,28,31,0,62,36,8,8,2,0.002398133277893,0.6143379601296324,1,0,0,1,0,1,3,1.0,2.0,7.0,10.0,3.0,2.0,4948.0,23.0,680.0,-3.0,125.0
LA2_1524383212,440,1,Vayne,BOTTOM,31.42,10,2,6,214,20,30,11,9,2,1,0.8831319808959961,0.6853640665100427,0,0,1,1,0,1,3,4.0,1.0,3.0,5.0,1.0,1.0,5734.0,105.0,762.0,-18.0,243.0
LA2_1526757911,440,1,Sejuani,JUNGLE,27.65,8,7,13,19,131,15,5,1,5,0,-0.6041734218597412,0.7849363910542064,0,0,1,1,1,1,0,3.0,4.0,2.0,2.0,1.0,2.0,5223.0,77.0,-1410.0,-35.0,-712.0
LA2_1526057558,440,1,Thresh,UTILITY,39.43,3,7,19,31,0,108,52,9,11,2,0.1468346118927002,0.4481776754117046,0,0,0,0,0,0,0,1.0,3.0,5.0,12.0,3.0,3.0,4748.0,18.0,208.0,-6.0,-789.0
LA2_1524593938,440,0,Vayne,BOTTOM,23.62,5,8,7,131,0,11,8,0,0,0,-0.0339714884757995,0.0,0,0,0,0,0,0,0,1.0,5.0,2.0,4.0,0.0,0.0,4232.0,76.0,-3923.0,-59.0,-930.0
LA2_1519010571,420,1,KSante,TOP,26.97,9,3,10,165,4,18,10,2,1,0,-0.4593477845191955,0.3594301989099321,0,0,0,1,0,1,1,5.0,2.0,2.0,5.0,0.0,0.0,5910.0,103.0,1219.0,34.0,2221.0
LA2_1553683910,420,0,Thresh,UTILITY,28.13,2,6,4,21,2,57,25,4,4,0,-0.2426861524581909,0.3410348812205919,0,0,0,1,0,0,3,1.0,1.0,2.0,10.0,0.0,2.0,3733.0,16.0,-160.0,-9.0,-247.0
LA2_1553970963,420,1,Elise,UTILITY,22.22,10,4,4,19,2,38,18,5,4,1,-0.0715768337249755,0.6543094299276218,2,0,0,1,0,1,3,6.0,2.0,3.0,11.0,1.0,3.0,5939.0,16.0,1336.0,-3.0,1460.0
LA2_1526740222,440,0,Thresh,UTILITY,28.27,3,5,5,40,0,71,32,11,5,0,0.0763392448425293,0.7928767049130373,0,0,0,0,1,0,0,2.0,1.0,0.0,12.0,3.0,3.0,3713.0,30.0,-420.0,0.0,299.0
LA2_1552778750,440,1,Sejuani,JUNGLE,35.53,2,5,16,17,195,39,3,7,2,0,0.0463948249816894,0.7766076779699785,0,0,1,1,0,0,3,1.0,3.0,3.0,2.0,0.0,1.0,4766.0,70.0,-1874.0,-35.0,-2023.0
LA2_1527080479,440,0,Ezreal,BOTTOM,27.05,2,6,5,164,0,10,7,1,2,0,-0.5875701904296875,0.0,0,0,0,0,1,0,0,2.0,5.0,1.0,3.0,0.0,0.0,4635.0,89.0,-3045.0,-26.0,-1425.0
LA2_1526530187,440,0,Thresh,UTILITY,28.68,0,5,15,28,0,62,33,5,5,0,-0.1047041416168212,0.7278992322117418,0,0,0,1,1,0,0,0.0,2.0,6.0,13.0,3.0,2.0,3682.0,24.0,-233.0,10.0,-574.0
LA2_1522274439,420,1,Trundle,JUNGLE,20.08,7,2,8,9,110,17,3,1,3,0,-0.0828397870063781,0.7629882677972654,0,0,1,1,1,1,3,3.0,1.0,5.0,3.0,1.0,3.0,5697.0,87.0,227.0,-3.0,51.0
LA2_1518957898,420,0,Trundle,JUNGLE,28.02,2,11,3,20,125,23,10,1,2,2,0.1646574735641479,0.7331043779756824,0,0,1,1,0,0,3,1.0,5.0,0.0,4.0,1.0,1.0,4489.0,76.0,-1561.0,-11.0,-676.0
LA2_1520669392,420,1,Cassiopeia,MIDDLE,29.25,8,5,7,189,4,31,11,7,2,1,0.259513258934021,0.7148194789136267,0,0,0,1,1,0,3,1.0,1.0,4.0,6.0,2.0,1.0,5205.0,116.0,278.0,7.0,251.0
LA2_1527048075,440,0,Ezreal,BOTTOM,30.1,4,1,5,213,0,24,12,4,2,0,-0.0184422135353088,0.0,0,0,1,0,0,0,3,1.0,0.0,3.0,5.0,2.0,1.0,4898.0,110.0,-729.0,-4.0,-421.0
LA2_1525477694,440,1,Braum,UTILITY,29.33,2,6,17,30,0,62,26,9,4,0,-0.2045756578445434,0.2566637382948348,0,0,0,0,0,0,3,0.0,2.0,6.0,12.0,5.0,2.0,4248.0,23.0,-216.0,2.0,328.0
LA2_1525137564,440,0,Sejuani,JUNGLE,33.4,1,4,7,16,152,31,5,5,5,0,0.1277693510055542,0.6803752833185309,0,0,0,0,1,0,0,1.0,0.0,5.0,1.0,2.0,1.0,5053.0,83.0,199.0,-22.0,-420.0
LA2_1554466814,420,1,Thresh,UTILITY,28.17,1,5,16,32,0,65,30,10,5,1,-0.1430415511131286,0.4898488650304573,0,0,1,0,0,1,0,1.0,1.0,6.0,7.0,4.0,2.0,4392.0,25.0,114.0,7.0,449.0
LA2_1524731617,440,1,Trundle,JUNGLE,30.02,7,5,16,11,151,20,4,3,4,2,-0.1656667590141296,0.5515433629895845,0,0,1,1,1,1,0,1.0,2.0,7.0,1.0,1.0,1.0,4991.0,79.0,116.0,-11.0,179.0
LA2_1520003669,420,1,Pantheon,JUNGLE,17.2,2,1,4,16,98,14,3,1,3,2,0.6178842782974243,0.6665734273528638,0,0,1,1,0,1,3,2.0,1.0,4.0,3.0,1.0,3.0,5878.0,95.0,447.0,18.0,1354.0
LA2_1520195703,420,1,Ahri,MIDDLE,30.08,15,2,7,211,4,29,15,4,2,4,0.10834801197052,0.618935165728244,2,0,0,1,1,0,3,4.0,0.0,2.0,6.0,1.0,1.0,6424.0,117.0,1631.0,11.0,1995.0
LA2_1525833085,440,0,Blitzcrank,UTILITY,27.13,0,3,18,20,0,75,34,9,9,0,1.2019615173339844,0.7560834549663448,0,0,1,0,1,1,3,0.0,2.0,8.0,13.0,2.0,4.0,3740.0,11.0,-122.0,-16.0,-1041.0
LA2_1552598575,440,1,JarvanIV,JUNGLE,39.7,2,10,25,21,116,33,8,5,8,0,0.2216747999191284,0.7791700135721888,0,0,0,0,1,1,3,1.0,4.0,4.0,2.0,0.0,2.0,4314.0,60.0,-1529.0,-30.0,-966.0
LA2_1518947646,420,0,Trundle,JUNGLE,29.25,6,6,10,40,130,34,5,6,3,1,0.1743248701095581,0.2386863496353739,0,0,1,0,1,0,2,2.0,2.0,5.0,3.0,3.0,1.0,5258.0,85.0,-882.0,3.0,-328.0
LA2_1554101114,420,1,Elise,UTILITY,23.2,6,5,10,24,0,51,22,3,3,2,0.5696511268615723,0.5713482183815352,1,0,0,1,0,1,3,4.0,3.0,5.0,13.0,1.0,1.0,5300.0,21.0,-654.0,-16.0,-1938.0
LA2_1516715791,420,1,Vayne,BOTTOM,27.47,21,4,2,162,36,22,9,3,2,6,0.599364161491394,0.7420417955288856,2,0,0,1,1,1,3,14.0,3.0,0.0,4.0,2.0,1.0,8862.0,92.0,4331.0,37.0,754.0
LA2_1522246780,420,0,Leblanc,MIDDLE,24.2,6,2,4,153,0,20,11,1,3,0,0.3601667881011963,0.7130529379610006,2,0,0,0,0,0,0,5.0,2.0,1.0,7.0,1.0,2.0,5690.0,91.0,-249.0,-18.0,-1285.0
LA2_1552633784,440,1,Sejuani,JUNGLE,39.93,6,6,32,26,201,52,6,12,6,0,0.0177408456802368,0.8733901216093013,0,0,0,0,0,1,3,4.0,2.0,5.0,2.0,2.0,2.0,6264.0,88.0,-1700.0,-17.0,-375.0
LA2_1523538017,440,1,Vayne,BOTTOM,31.15,9,1,4,210,15,26,12,5,2,1,-0.1245943307876586,0.4769897302889674,0,0,0,1,1,0,3,2.0,0.0,2.0,5.0,1.0,1.0,5557.0,112.0,1189.0,18.0,1220.0
LA2_1552576190,440,1,JarvanIV,JUNGLE,32.78,3,1,22,33,171,32,6,6,5,1,0.4515912532806396,0.6240401822375036,0,0,0,1,0,0,3,1.0,0.0,7.0,2.0,1.0,1.0,5230.0,86.0,1.0,-4.0,331.0
